"","id","nm","lat","lon","countryCode","cityid"
"1",3515302,"Toluca",19.28833,-99.667221,"MX","MXtoluca"
"2",3676623,"Leticia",-4.21528,-69.940559,"CO","COleticia"
"3",3665900,"Villavicencio",4.142,-73.62664,"CO","COvillavicencio"
"4",3668605,"Santa Marta",11.24079,-74.199043,"CO","COsanta marta"
"5",3688689,"Bogota",4.60971,-74.081749,"CO","CObogota"
"6",3981609,"Tijuana",32.533329,-117.01667,"MX","MXtijuana"
"7",4006702,"Ensenada",31.866671,-116.616669,"MX","MXensenada"
"8",3995465,"Monterrey",25.66667,-100.316673,"MX","MXmonterrey"
"9",3514783,"Veracruz",19.200001,-96.133331,"MX","MXveracruz"
"10",3992619,"Piedras Negras",28.700001,-100.51667,"MX","MXpiedras negras"
"11",4014338,"Chihuahua",28.633329,-106.083328,"MX","MXchihuahua"
"12",4005539,"Guadalajara",20.66667,-103.333328,"MX","MXguadalajara"
"13",3988086,"Saltillo",25.41667,-101,"MX","MXsaltillo"
"14",3526700,"Iztacalco",19.396669,-99.084717,"MX","MXiztacalco"
"15",3526683,"Iztapalapa",19.35111,-99.051941,"MX","MXiztapalapa"
"16",3515428,"Tlalpan",19.283331,-99.166672,"MX","MXtlalpan"
"17",4011743,"Durango",24.033331,-104.666672,"MX","MXdurango"
"18",3531732,"Campeche",19.85,-90.533333,"MX","MXcampeche"
"19",3815415,"Tlaxcala",19.31389,-98.241669,"MX","MXtlaxcala"
"20",3995523,"Monclova",26.9,-101.416672,"MX","MXmonclova"
"21",4019233,"Aguascalientes",21.883329,-102.300003,"MX","MXaguascalientes"
"22",3979844,"Zacatecas",22.775591,-102.572182,"MX","MXzacatecas"
"23",3514785,"Venustiano Carranza",16.35,-92.550003,"MX","MXvenustiano carranza"
"24",3532497,"Azcapotzalco",19.48889,-99.183609,"MX","MXazcapotzalco"
"25",4005270,"Guanajuato",21.018579,-101.259102,"MX","MXguanajuato"
"26",3520339,"Reynosa",26.08333,-98.283333,"MX","MXreynosa"
"27",3988214,"Salamanca",20.566669,-101.199997,"MX","MXsalamanca"
"28",3526621,"Jalapa",16.5,-95.466667,"MX","MXjalapa"
"29",3530517,"Coatzacoalcos",18.15,-94.416672,"MX","MXcoatzacoalcos"
"30",4000900,"La Paz",24.16667,-110.300003,"MX","MXla paz"
"31",4014875,"Celaya",20.51667,-100.816673,"MX","MXcelaya"
"32",3996069,"Mexicali",32.651939,-115.46833,"MX","MXmexicali"
"33",3526485,"Jiutepec",18.866671,-99.183327,"MX","MXjiutepec"
"34",3516355,"Tampico",22.216669,-97.849998,"MX","MXtampico"
"35",4005492,"Guadalupe",25.683331,-100.25,"MX","MXguadalupe"
"36",3991328,"Puerto Vallarta",20.620411,-105.230659,"MX","MXpuerto vallarta"
"37",4018390,"Apodaca",25.76667,-100.199997,"MX","MXapodaca"
"38",3991043,"Ramos Arizpe",25.549999,-100.966667,"MX","MXramos arizpe"
"39",3522307,"Orizaba",18.85,-97.099998,"MX","MXorizaba"
"40",3522210,"Pachuca de Soto",20.11697,-98.733292,"MX","MXpachuca de soto"
"41",4004330,"Irapuato",20.683331,-101.349998,"MX","MXirapuato"
"42",3526957,"Huehuetoca",19.84889,-99.20417,"MX","MXhuehuetoca"
"43",4018582,"Ameca",20.549999,-104.033333,"MX","MXameca"
"44",3523303,"Metepec",19.253611,-99.60778,"MX","MXmetepec"
"45",3521051,"Puente de Ixtla",18.614719,-99.318062,"MX","MXpuente de ixtla"
"46",3516266,"Tapachula",14.9,-92.283333,"MX","MXtapachula"
"47",3988333,"Sabinas",27.85,-101.116669,"MX","MXsabinas"
"48",3514876,"Valladolid",20.68812,-88.199364,"MX","MXvalladolid"
"49",3982266,"Tecate",32.566669,-116.633331,"MX","MXtecate"
"50",3515904,"Tepeaca",18.966669,-97.900002,"MX","MXtepeaca"
"51",3532792,"Apizaco",19.41667,-98.150002,"MX","MXapizaco"
"52",3980605,"Valle de Santiago",20.383329,-101.199997,"MX","MXvalle de santiago"
"53",3533005,"Altamira",22.4,-97.916672,"MX","MXaltamira"
"54",4002224,"Lagos de Moreno",21.35,-101.916672,"MX","MXlagos de moreno"
"55",3981885,"Tequila",20.883329,-103.833328,"MX","MXtequila"
"56",3526682,"Ixtapaluca",19.316669,-98.883331,"MX","MXixtapaluca"
"57",3827586,"Melchor Ocampo",19.69972,-99.147499,"MX","MXmelchor ocampo"
"58",3514437,"Xochitepec",18.783331,-99.23333,"MX","MXxochitepec"
"59",3527879,"Emiliano Zapata",18.83333,-99.183327,"MX","MXemiliano zapata"
"60",3516035,"Temixco",18.85,-99.23333,"MX","MXtemixco"
"61",4005219,"Guasave",25.566669,-108.449997,"MX","MXguasave"
"62",3526798,"Iguala de la Independencia",18.35,-99.533333,"MX","MXiguala de la independencia"
"63",3523791,"Macuspana",17.76667,-92.599998,"MX","MXmacuspana"
"64",3514321,"Yautepec",18.88188,-99.067146,"MX","MXyautepec"
"65",3532530,"Ayala",18.75,-98.98333,"MX","MXayala"
"66",4018127,"Arteaga",25.466669,-100.849998,"MX","MXarteaga"
"67",3515942,"Teoloyucan",19.74556,-99.183327,"MX","MXteoloyucan"
"68",3516271,"Tantoyuca",21.35,-98.23333,"MX","MXtantoyuca"
"69",3815326,"Ixtenco",19.25,-97.893059,"MX","MXixtenco"
"70",3526952,"Huejutla de Reyes",21.133329,-98.416672,"MX","MXhuejutla de reyes"
"71",3521628,"Perote",19.566669,-97.23333,"MX","MXperote"
"72",3532964,"Alvarado",18.76667,-95.76667,"MX","MXalvarado"
"73",3516923,"Santiago Suchilquitongo",17.25,-96.883331,"MX","MXsantiago suchilquitongo"
"74",3518129,"San Pablo Huitzo",17.25,-96.866669,"MX","MXsan pablo huitzo"
"75",3801596,"Guadalupe Etla",17.171671,-96.80056,"MX","MXguadalupe etla"
"76",3517742,"Chiautempan",19.316669,-98.183327,"MX","MXchiautempan"
"77",3530908,"Chignahuapan",19.83333,-98.033333,"MX","MXchignahuapan"
"78",3515902,"Tepeapulco",19.783331,-98.550003,"MX","MXtepeapulco"
"79",3815363,"Xicohtzinco",19.173611,-98.23333,"MX","MXxicohtzinco"
"80",3815324,"Huamantla",19.315281,-97.925003,"MX","MXhuamantla"
"81",3522164,"Palenque",17.51667,-91.966667,"MX","MXpalenque"
"82",3527543,"Frontera Comalapa",15.65,-92.133331,"MX","MXfrontera comalapa"
"83",3530385,"Comalcalco",18.26667,-93.216667,"MX","MXcomalcalco"
"84",3522865,"Nacajuca",18.133329,-93.01667,"MX","MXnacajuca"
"85",3526908,"Huimanguillo",17.85,-93.383331,"MX","MXhuimanguillo"
"86",3516499,"Suchiapa",16.616671,-93.083328,"MX","MXsuchiapa"
"87",3520020,"Salto de Agua",17.616671,-92.366669,"MX","MXsalto de agua"
"88",3516439,"Tacotalpa",17.6,-92.816673,"MX","MXtacotalpa"
"89",3516210,"Teapa",17.549999,-92.949997,"MX","MXteapa"
"90",3515767,"Tetecala",18.716669,-99.400002,"MX","MXtetecala"
"91",3515384,"Tlapa de Comonfort",17.549999,-98.550003,"MX","MXtlapa de comonfort"
"92",3532603,"Atlatlahucan",18.933331,-98.900002,"MX","MXatlatlahucan"
"93",3515679,"Tianguistenco",19.17972,-99.470558,"MX","MXtianguistenco"
"94",3532617,"Atlacomulco",19.798889,-99.874443,"MX","MXatlacomulco"
"95",3515751,"Tetepango",20.1,-99.166672,"MX","MXtetepango"
"96",3515505,"Tizayuca",19.83333,-98.98333,"MX","MXtizayuca"
"97",3533389,"Actopan",20.26667,-98.933327,"MX","MXactopan"
"98",3515044,"Tultepec",19.684719,-99.129173,"MX","MXtultepec"
"99",3518461,"San Marcos",16.799999,-99.349998,"MX","MXsan marcos"
"100",3987500,"San Buenaventura",27.08333,-101.533333,"MX","MXsan buenaventura"
"101",4005867,"General Escobedo",25.816669,-100.333328,"MX","MXgeneral escobedo"
"102",4019869,"Abasolo",20.450001,-101.51667,"MX","MXabasolo"
"103",4013579,"Cocula",20.36517,-103.822151,"MX","MXcocula"
"104",4009697,"El Grullo",19.799999,-104.216667,"MX","MXel grullo"
"105",4012721,"Cortazar",20.48333,-100.933327,"MX","MXcortazar"
"106",3985344,"San Miguel de Allende",20.91667,-100.75,"MX","MXsan miguel de allende"
"107",4001956,"La Huacana",18.966669,-101.816673,"MX","MXla huacana"
"108",4018128,"Arteaga",18.466669,-102.416672,"MX","MXarteaga"
"109",4004126,"Jamay",20.299999,-102.716667,"MX","MXjamay"
"110",4019807,"Acatic",20.783331,-102.883331,"MX","MXacatic"
"111",3985865,"San Juan de los Lagos",21.25,-102.300003,"MX","MXsan juan de los lagos"
"112",3982887,"Sombrerete",23.633329,-103.650002,"MX","MXsombrerete"
"113",3996387,"Matehuala",23.65,-100.650002,"MX","MXmatehuala"
"114",4014420,"Chavinda",20.01667,-102.449997,"MX","MXchavinda"
"115",4005143,"Guaymas",27.933331,-110.900002,"MX","MXguaymas"
"116",4004647,"Huatabampo",26.83333,-109.633331,"MX","MXhuatabampo"
"117",3995017,"Navolato",24.76722,-107.694443,"MX","MXnavolato"
"118",3995652,"Mocorito",25.48333,-107.916672,"MX","MXmocorito"
"119",3979855,"Yuriria",20.200001,-101.150002,"MX","MXyuriria"
"120",3980777,"Uriangato",20.15,-101.183327,"MX","MXuriangato"
"121",3762770,"San Antonio de la Cal",17.03083,-96.697502,"MX","MXsan antonio de la cal"
"122",3516912,"Santiago Tuxtla",18.466669,-95.300003,"MX","MXsantiago tuxtla"
"123",3815451,"Tenancingo",19.147221,-98.180557,"MX","MXtenancingo"
"124",3531042,"Chemax",20.65,-87.933327,"MX","MXchemax"
"125",3526662,"Izamal",20.933331,-89.01667,"MX","MXizamal"
"126",3980828,"Tzintzuntzan",19.616671,-101.583328,"MX","MXtzintzuntzan"
"127",3523180,"Mineral del Monte",20.133329,-98.666672,"MX","MXmineral del monte"
"128",4018100,"Asientos",22.23333,-102.099998,"MX","MXasientos"
"129",4017743,"Badiraguato",25.366671,-107.51667,"MX","MXbadiraguato"
"130",3980621,"Valle de Bravo",19.183331,-100.133331,"MX","MXvalle de bravo"
"131",3816739,"Arriaga",16.23333,-93.900002,"MX","MXarriaga"
"132",3526953,"Huejotzingo",19.15,-98.400002,"MX","MXhuejotzingo"
"133",3515479,"Tlacotalpan",18.616671,-95.666672,"MX","MXtlacotalpan"
"134",3514278,"Yecapixtla",18.883329,-98.866669,"MX","MXyecapixtla"
"135",3531598,"Capulhuac",19.191389,-99.466942,"MX","MXcapulhuac"
"136",3515690,"Tezontepec de Aldama",20.200001,-99.26667,"MX","MXtezontepec de aldama"
"137",3515665,"Ticul",20.4,-89.533333,"MX","MXticul"
"138",3532465,"Bacalar",18.66667,-88.383331,"MX","MXbacalar"
"139",3985573,"San Marcos",20.783331,-104.183327,"MX","MXsan marcos"
"140",3530177,"Cosamaloapan de Carpio",18.366671,-95.800003,"MX","MXcosamaloapan de carpio"
"141",3515799,"Tequila",18.73333,-97.066673,"MX","MXtequila"
"142",3515796,"Tequisquiapan",20.51667,-99.866669,"MX","MXtequisquiapan"
"143",3521951,"Panotla",19.316669,-98.26667,"MX","MXpanotla"
"144",3515510,"Tixtla de Guerrero",17.56732,-99.397987,"MX","MXtixtla de guerrero"
"145",3817731,"Tezoyuca",19.591669,-98.916672,"MX","MXtezoyuca"
"146",3982168,"Tecuala",22.398609,-105.45694,"MX","MXtecuala"
"147",3529981,"Cuautlancingo",19.08333,-98.26667,"MX","MXcuautlancingo"
"148",3530935,"Chicomuselo",15.76667,-92.26667,"MX","MXchicomuselo"
"149",3514450,"Xochimilco",19.26222,-99.107498,"MX","MXxochimilco"
"150",3515373,"Tlaquiltenango",18.633329,-99.166672,"MX","MXtlaquiltenango"
"151",3526600,"Jaltenco",19.750561,-99.095558,"MX","MXjaltenco"
"152",4019819,"Acaponeta",22.496389,-105.359444,"MX","MXacaponeta"
"153",3515762,"Tetela de Ocampo",19.816669,-97.800003,"MX","MXtetela de ocampo"
"154",3815419,"Totolac",19.325001,-98.258331,"MX","MXtotolac"
"155",3526883,"Huitzilac",19.029169,-99.268333,"MX","MXhuitzilac"
"156",3527880,"Emiliano Zapata",17.75,-91.76667,"MX","MXemiliano zapata"
"157",3983636,"Santiago Ixcuintla",21.816669,-105.216667,"MX","MXsantiago ixcuintla"
"158",3527006,"Huaquechula",18.76667,-98.550003,"MX","MXhuaquechula"
"159",4019098,"Ahome",25.91667,-109.183327,"MX","MXahome"
"160",3530295,"Conkal",21.066669,-89.533333,"MX","MXconkal"
"161",3522439,"Ocuituco",18.866671,-98.76667,"MX","MXocuituco"
"162",3520922,"Quechultenango",17.41667,-99.216667,"MX","MXquechultenango"
"163",3530913,"Chietla",18.51667,-98.583328,"MX","MXchietla"
"164",3518387,"San Mateo Atenco",19.261669,-99.535278,"MX","MXsan mateo atenco"
"165",3827408,"Miguel Hidalgo",19.422501,-99.202782,"MX","MXmiguel hidalgo"
"166",3522696,"Nogales",18.816669,-97.166672,"MX","MXnogales"
"167",3980390,"Venustiano Carranza",20.116671,-102.650002,"MX","MXvenustiano carranza"
"168",4018761,"Allende",28.33333,-100.849998,"MX","MXallende"
"169",3517831,"San Salvador el Seco",19.133329,-97.650002,"MX","MXsan salvador el seco"
"170",3827306,"San Antonio La Isla",19.16111,-99.570831,"MX","MXsan antonio la isla"
"171",3672486,"Pereira",4.81333,-75.696114,"CO","COpereira"
"172",3666997,"Tocancipa",4.96531,-73.91301,"CO","COtocancipa"
"173",3689147,"Barranquilla",10.96389,-74.796387,"CO","CObarranquilla"
"174",3688465,"Bucaramanga",7.12539,-73.119797,"CO","CObucaramanga"
"175",3687925,"Cali",3.43722,-76.522499,"CO","COcali"
"176",3665657,"Yumbo",3.58234,-76.491463,"CO","COyumbo"
"177",3680450,"Itagui",6.17194,-75.611389,"CO","COitagui"
"178",3688256,"Buga",3.90089,-76.297829,"CO","CObuga"
"179",3675443,"Manizales",5.06889,-75.51738,"CO","COmanizales"
"180",3682631,"Envigado",6.17064,-75.585312,"CO","COenvigado"
"181",3672778,"Pasto",1.21361,-77.281113,"CO","COpasto"
"182",3680656,"Ibague",4.43889,-75.232224,"CO","COibague"
"183",3689169,"Barrancabermeja",7.06528,-73.854721,"CO","CObarrancabermeja"
"184",3685533,"Cucuta",7.88333,-72.50528,"CO","COcucuta"
"185",3666645,"Tulua",4.08466,-76.195358,"CO","COtulua"
"186",3689560,"Armenia",4.53389,-75.681107,"CO","COarmenia"
"187",3686675,"Chia",4.85876,-74.058662,"CO","COchia"
"188",3674292,"Mosquera",4.70592,-74.230209,"CO","COmosquera"
"189",3667983,"Sincelejo",9.30472,-75.397781,"CO","COsincelejo"
"190",3667849,"Soledad",10.91843,-74.764587,"CO","COsoledad"
"191",3682516,"Facatativa",4.81367,-74.35453,"CO","COfacatativa"
"192",3665688,"Yopal",5.33775,-72.395859,"CO","COyopal"
